Date,Open,High,Low,Close,Volume
2024-01-28,1.08454,1.08485,1.08411,1.08418,1659
2024-01-29,1.08421,1.0851,1.0794,1.08335,142755
2024-01-30,1.08336,1.08572,1.081,1.0842,157266
2024-01-31,1.08428,1.08874,1.0794,1.08037,194847
2024-02-01,1.08039,1.0877,1.08,1.0874,68647
2024-02-02,1.08742,1.0898,1.07721,1.0786,170826
2024-02-04,1.07843,1.07856,1.07697,1.07792,2694
2024-02-05,1.07794,1.07861,1.0722,1.07408,158914
2024-02-06,1.07411,1.07624,1.0722,1.07568,165603
2024-02-07,1.07566,1.0785,1.0754,1.07755,167157
2024-02-08,1.07751,1.0789,1.0741,1.07771,167111
2024-02-09,1.07777,1.07954,1.076,1.0782,153377
2024-02-11,1.07805,1.07982,1.07802,1.07977,2113
2024-02-12,1.07978,1.0806,1.0755,1.07713,139174
2024-02-13,1.07718,1.07998,1.0699,1.0707,169340
2024-02-14,1.07084,1.0735,1.0693,1.0732,168557
2024-02-15,1.07322,1.0786,1.0723,1.07725,161502
2024-02-16,1.07728,1.0789,1.0731,1.07724,161816
2024-02-18,1.0775,1.07848,1.07719,1.07837,1628
2024-02-19,1.07836,1.07894,1.07401,1.07755,110545
2024-02-20,1.07754,1.0839,1.076,1.08098,150661
2024-02-21,1.08097,1.0825,1.0788,1.08203,166004
2024-02-22,1.08198,1.08885,1.0802,1.08255,173054
2024-02-23,1.0825,1.084,1.0811,1.0821,154347
2024-02-25,1.08321,1.08321,1.08141,1.08188,1398
2024-02-26,1.08186,1.08597,1.0811,1.08503,147951
2024-02-27,1.085,1.0866,1.0831,1.08411,150136
2024-02-28,1.08411,1.0846,1.0796,1.08383,156473
2024-02-29,1.08384,1.0856,1.0794,1.08056,187115
2024-03-01,1.08056,1.08432,1.0797,1.0839,157435
2024-03-03,1.08391,1.08438,1.08349,1.08414,2093
2024-03-04,1.08418,1.08669,1.0836,1.08536,135851
2024-03-05,1.0854,1.08758,1.08392,1.08555,142134
2024-03-06,1.08556,1.09152,1.0841,1.08991,161630
2024-03-07,1.0897,1.09512,1.0866,1.09506,167082
2024-03-08,1.0949,1.0981,1.0917,1.0939,172630
2024-03-10,1.09398,1.09434,1.09355,1.09424,2635
2024-03-11,1.09427,1.0948,1.0913,1.09305,148263
2024-03-12,1.09303,1.09434,1.0901,1.09267,152876
2024-03-13,1.09268,1.09637,1.0918,1.0953,141306
2024-03-14,1.0953,1.09549,1.0879,1.0882,150434
2024-03-15,1.08826,1.09,1.0871,1.0889,128223
2024-03-17,1.08878,1.08907,1.08812,1.08832,2936
2024-03-18,1.08831,1.0907,1.0865,1.0873,115956
2024-03-19,1.08731,1.0878,1.0833,1.0861,145459
2024-03-20,1.08616,1.0939,1.0835,1.09368,145044
2024-03-21,1.0936,1.0943,1.0854,1.08618,158012
2024-03-22,1.08621,1.0868,1.08,1.0861,124474
2024-03-24,1.0808,1.08096,1.08043,1.0807,1889
2024-03-25,1.08071,1.08423,1.08,1.08369,114479
2024-03-26,1.08368,1.08643,1.0823,1.08325,125430
2024-03-27,1.08324,1.0839,1.0809,1.08125,128764
2024-03-28,1.08134,1.08267,1.0773,1.07906,141840
2024-03-29,1.079,1.0809,1.0766,1.0799,75746
2024-03-31,1.07892,1.07962,1.07847,1.07929,3110
2024-04-01,1.0792,1.0799,1.0729,1.0737,109892
2024-04-02,1.07371,1.0779,1.0723,1.07677,121032
2024-04-03,1.07679,1.08406,1.0762,1.08378,131024
2024-04-04,1.08377,1.08765,1.0829,1.08362,128353
2024-04-05,1.08363,1.0848,1.079,1.0848,135312
